cluster_id,prompt_id,latency_s
0,P1,0.777780294418335
0,P2,0.6720907688140869
0,P3,0.8901236057281494
0,P4,0.7272088527679443
0,P5,0.6512513160705566
3,P1,0.6075096130371094
3,P2,0.6020879745483398
3,P3,0.5951402187347412
3,P4,0.6109707355499268
3,P5,0.6138894557952881
7,P1,0.863152265548706
7,P2,0.6725282669067383
7,P3,0.6716330051422119
7,P4,0.768834114074707
7,P5,0.7089474201202393
8,P1,0.7152557373046875
8,P2,0.5593459606170654
8,P3,0.4981420040130615
8,P4,0.852264404296875
8,P5,0.7857842445373535
20,P1,0.8633544445037842
20,P2,0.7550253868103027
20,P3,0.7598989009857178
20,P4,0.8250398635864258
20,P5,0.9287867546081543
