cluster_id,prompt_id,cosine_sim_same_teacher,cosine_sim_same_baseline,cosine_sim_same_finetuned,cosine_sim_multi_teacher,cosine_sim_multi_baseline,cosine_sim_multi_finetuned,rouge_l_same_teacher,rouge_l_same_baseline,rouge_l_same_finetuned,rouge_l_multi_teacher,rouge_l_multi_baseline,rouge_l_multi_finetuned,bertscore_f1_same_teacher,bertscore_f1_same_baseline,bertscore_f1_same_finetuned,bertscore_f1_multi_teacher,bertscore_f1_multi_baseline,bertscore_f1_multi_finetuned
0,P1,1.0,0.9031859636306763,0.9289717078208923,1.0,0.9031859636306763,1.0000001192092896,1.0,0.5,0.7142857142857143,1.0,0.625,1.0,,,,,,
0,P2,0.9999999403953552,0.8462964296340942,0.9237235188484192,0.9999999403953552,0.8605841994285583,1.0000001192092896,1.0,0.6153846153846154,0.7142857142857143,1.0,0.7272727272727272,1.0,,,,,,
0,P3,1.0,0.883766233921051,0.9553191065788269,1.0,0.8907930254936218,1.0,1.0,0.7142857142857143,0.8571428571428571,1.0,0.7692307692307692,1.0,,,,,,
0,P4,1.0000001192092896,0.8323694467544556,1.0000001192092896,1.0000001192092896,0.8668349981307983,1.0000001192092896,1.0,0.5333333333333333,1.0,1.0,0.75,1.0,,,,,,
0,P5,1.0,0.8907930254936218,0.9090809226036072,1.0,0.8907930254936218,1.0000001192092896,1.0,0.7142857142857143,0.7692307692307692,1.0,0.7692307692307692,1.0,,,,,,
3,P1,1.0000001192092896,0.6711227893829346,0.7992697954177856,1.0000001192092896,0.7344239950180054,0.9320314526557922,1.0,0.6250000000000001,0.7058823529411765,1.0,0.7999999999999999,0.875,,,,,,
3,P2,1.0,0.6774935722351074,0.8306580185890198,1.0,0.7344239950180054,1.0000001192092896,1.0,0.3157894736842105,0.4761904761904762,1.0,0.7999999999999999,1.0,,,,,,
3,P3,1.0,0.7344239950180054,0.9122198820114136,1.0,0.7344239950180054,0.9320314526557922,1.0,0.7999999999999999,0.875,1.0,0.7999999999999999,0.875,,,,,,
3,P4,1.0000001192092896,0.6825951933860779,0.668333888053894,1.0000001192092896,0.7344239950180054,1.0,1.0,0.3157894736842105,0.3,1.0,0.7999999999999999,1.0,,,,,,
3,P5,1.0,0.6941870450973511,0.9320314526557922,1.0,0.7344239950180054,0.9320314526557922,1.0,0.6666666666666666,0.75,1.0,0.7999999999999999,0.875,,,,,,
7,P1,0.9999999403953552,0.633740246295929,0.7687078714370728,0.9999999403953552,0.633740246295929,0.7687078714370728,1.0,0.20000000000000004,0.3529411764705882,1.0,0.33333333333333326,0.39999999999999997,,,,,,
7,P2,1.0000001192092896,0.31768375635147095,0.6540563106536865,1.0000001192092896,0.6258727312088013,0.8293907046318054,1.0,0.25,0.22222222222222224,1.0,0.35294117647058826,0.5714285714285713,,,,,,
7,P3,1.0,0.5455319285392761,0.451553612947464,1.0,0.5550660490989685,0.6968657970428467,1.0,0.25,0.23529411764705882,1.0,0.39999999999999997,0.5882352941176471,,,,,,
7,P4,1.0,0.5073845386505127,0.8192979097366333,1.0,0.6257027387619019,0.8192979097366333,1.0,0.19999999999999998,0.6666666666666666,1.0,0.23529411764705882,0.6666666666666666,,,,,,
7,P5,0.9999999403953552,0.4691263437271118,0.676624059677124,0.9999999403953552,0.5758581161499023,0.7045672535896301,1.0,0.23529411764705882,0.5555555555555556,1.0,0.25,0.5555555555555556,,,,,,
8,P1,1.0000001192092896,0.6872837543487549,0.6257864832878113,1.0000001192092896,0.6872837543487549,0.815275251865387,1.0,0.35294117647058826,0.23529411764705882,1.0,0.35294117647058826,0.47058823529411764,,,,,,
8,P2,1.0,0.6668336391448975,0.7140923142433167,1.0,0.6668336391448975,0.815275251865387,1.0,0.2222222222222222,0.39999999999999997,1.0,0.26666666666666666,0.47058823529411764,,,,,,
8,P3,1.000000238418579,0.5400131940841675,0.8097285032272339,1.000000238418579,0.651772141456604,0.8211714625358582,1.0,0.14285714285714288,0.875,1.0,0.28571428571428575,0.875,,,,,,
8,P4,1.0,0.49463289976119995,0.6069221496582031,1.0,0.7823042869567871,0.815275251865387,1.0,0.19999999999999998,0.39999999999999997,1.0,0.35294117647058826,0.47058823529411764,,,,,,
8,P5,1.0,0.5823994278907776,1.0,1.0,0.6668287515640259,1.0,1.0,0.23529411764705882,1.0,1.0,0.39999999999999997,1.0,,,,,,
20,P1,1.0,0.8028578162193298,0.8184888362884521,1.0,0.8048302531242371,0.8368047475814819,1.0,0.23529411764705882,0.6666666666666666,1.0,0.26666666666666666,0.7142857142857143,,,,,,
20,P2,1.0000001192092896,0.6881362795829773,0.7191247344017029,1.0000001192092896,0.8151097297668457,0.8368047475814819,1.0,0.2857142857142857,0.7142857142857143,1.0,0.30769230769230765,0.7142857142857143,,,,,,
20,P3,0.9999999403953552,0.8807739615440369,0.74219810962677,0.9999999403953552,0.8807739615440369,0.959307074546814,1.0,0.6153846153846153,0.4615384615384615,1.0,0.6250000000000001,0.9333333333333333,,,,,,
20,P4,1.0,0.7705879807472229,0.7755514979362488,1.0,0.7705879807472229,0.8178572654724121,1.0,0.3,0.2222222222222222,1.0,0.3,0.26666666666666666,,,,,,
20,P5,1.0,0.355502188205719,0.8368047475814819,1.0,0.4727146625518799,0.8368047475814819,1.0,0.4444444444444445,0.6666666666666666,1.0,0.5263157894736842,0.7142857142857143,,,,,,
