cluster_id,prompt_id,latency_s
0,P1,0.5510783195495605
0,P2,0.5561387538909912
0,P3,0.6083383560180664
0,P4,0.561575174331665
0,P5,0.5797126293182373
3,P1,0.7177269458770752
3,P2,0.7154154777526855
3,P3,0.7415659427642822
3,P4,0.6704502105712891
3,P5,0.7266230583190918
7,P1,0.6284830570220947
7,P2,0.770439863204956
7,P3,0.6580729484558105
7,P4,0.7725200653076172
7,P5,0.8749752044677734
8,P1,0.8499553203582764
8,P2,0.8071434497833252
8,P3,0.8064455986022949
8,P4,0.7753074169158936
8,P5,0.7250757217407227
20,P1,0.6267576217651367
20,P2,0.6374762058258057
20,P3,0.6729552745819092
20,P4,0.7367720603942871
20,P5,0.6170871257781982
