cluster_id,P1_teacher_s,P1_baseline_s,P1_finetuned_s,P2_teacher_s,P2_baseline_s,P2_finetuned_s,P3_teacher_s,P3_baseline_s,P3_finetuned_s,P4_teacher_s,P4_baseline_s,P4_finetuned_s,P5_teacher_s,P5_baseline_s,P5_finetuned_s
0,,0.777780294418335,0.5510783195495605,,0.6720907688140869,0.5561387538909912,,0.8901236057281494,0.6083383560180664,,0.7272088527679443,0.561575174331665,,0.6512513160705566,0.5797126293182373
3,,0.6075096130371094,0.7177269458770752,,0.6020879745483398,0.7154154777526855,,0.5951402187347412,0.7415659427642822,,0.6109707355499268,0.6704502105712891,,0.6138894557952881,0.7266230583190918
7,,0.863152265548706,0.6284830570220947,,0.6725282669067383,0.770439863204956,,0.6716330051422119,0.6580729484558105,,0.768834114074707,0.7725200653076172,,0.7089474201202393,0.8749752044677734
8,,0.7152557373046875,0.8499553203582764,,0.5593459606170654,0.8071434497833252,,0.4981420040130615,0.8064455986022949,,0.852264404296875,0.7753074169158936,,0.7857842445373535,0.7250757217407227
20,,0.8633544445037842,0.6267576217651367,,0.7550253868103027,0.6374762058258057,,0.7598989009857178,0.6729552745819092,,0.8250398635864258,0.7367720603942871,,0.9287867546081544,0.6170871257781982
